date,close,volume,day_of_week,month,is_weekend,sin_dow,cos_dow,sin_month,cos_month,return_log_lag_1,return_log_lag_2,return_log_lag_3,range_hl,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5,close_lag_6,close_lag_7,target_next_close,volatility_7d,momentum_7d,rolling_max_7d,rolling_min_7d,volatility_14d,momentum_14d,rolling_max_14d,rolling_min_14d,volatility_30d,momentum_30d,rolling_max_30d,rolling_min_30d
2018-01-31,115507.5390625,45685065332,3,9,0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0.02150827089182057,-0.004837916692699648,0.008097306013038336,2068.7109375,113955.359375,111530.546875,112071.4296875,111167.6171875,110224.6953125,110650.984375,110723.6015625,116101.578125,0.009720276368062948,0.04320612256547318,115507.5390625,110224.6953125,0.014460962353378445,0.026324932396715628,115507.5390625,108236.7109375,0.01841299875958812,-0.03882212166687948,123344.0625,108236.7109375
2018-02-01,20160.716796875,33223790572,2,10,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.035702295702777984,0.0299741763073446,-0.013973887936277964,541.947265625,20336.84375,19623.580078125,19044.107421875,19312.095703125,19431.7890625,19573.05078125,19426.720703125,19955.443359375,0.019977076011015525,0.03778280981987492,20336.84375,19044.107421875,0.020405435488879964,0.086983424753448,20336.84375,18802.09765625,0.03398056189745092,0.017582231903322754,22370.44921875,18547.400390625
2018-02-02,11429.5068359375,24103426719,2,10,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,-0.011267025530866026,0.014924866101628098,0.007744148940002064,232.146484375,11425.8994140625,11555.36328125,11384.181640625,11296.361328125,11064.4580078125,10915.685546875,10668.96875,11495.349609375,0.012031637454809134,0.07128506079254371,11555.36328125,10915.685546875,0.012938014342194505,0.059809555442525975,11555.36328125,10549.3291015625,0.017177204131141943,0.07009458929899459,11555.36328125,10246.1865234375
2018-02-03,117924.4765625,64822943193,0,7,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.012646766556765231,0.002644369296284202,-0.0062043007703418435,2378.3515625,119448.4921875,117947.3671875,117635.8828125,118368.0,118754.9609375,119995.4140625,117439.5390625,117922.1484375,0.012583430279209901,0.004129252412528039,119995.4140625,117635.8828125,0.01064964954721782,-0.016063674020886265,119995.4140625,117300.7890625,0.01378127137235884,0.0987328819024329,119995.4140625,105698.28125
2018-02-04,9581.072265625,18146399002,3,7,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0.015923467431184803,0.022726572419009328,-0.0023526855605594836,127.2431640625,9525.36328125,9374.8876953125,9164.2314453125,9185.8173828125,9159.0400390625,9151.392578125,9132.2275390625,9536.892578125,0.009076923773256728,0.04914953385059628,9581.072265625,9151.392578125,0.008171909920395265,0.03266927624552407,9581.072265625,9132.2275390625,0.01274996867999811,-0.005045447769291833,9581.072265625,9045.390625
2018-02-05,6404.0,4543860224,5,6,1,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.051961304162501123,-0.04207551892667362,0.010360226200307545,251.28955078125,6218.2998046875,5903.43994140625,6157.1298828125,6093.669921875,6249.18017578125,6173.22998046875,6162.47998046875,6385.81982421875,0.031675514037231046,0.039192016898508264,6404.0,5903.43994140625,0.03715930129022157,-0.022313982065085503,6776.5498046875,5903.43994140625,0.03585938862255887,-0.14546906905498158,7720.25,5903.43994140625
2018-02-06,6529.58984375,4672309760,1,7,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.03513597605397694,-0.002842915424254111,0.029426269046298203,223.6201171875,6614.18017578125,6385.81982421875,6404.0,6218.2998046875,5903.43994140625,6157.1298828125,6093.669921875,6597.5498046875,0.0320673162929166,0.07153651698628094,6614.18017578125,5903.43994140625,0.03715517121508395,-0.03550254503532935,6776.5498046875,5903.43994140625,0.03632601426182052,-0.15422559583562712,7678.240234375,5903.43994140625
2018-02-07,9278.8076171875,16860035605,4,7,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,-0.016076772716190905,0.01884958505462196,-0.013227475028494522,169.4697265625,9277.9677734375,9428.3330078125,9252.27734375,9375.474609375,9073.9423828125,9132.48828125,9087.3037109375,9240.3466796875,0.017612663133759747,0.021073787378703468,9428.3330078125,9073.9423828125,0.013863048984560599,0.012647679356373231,9428.3330078125,9045.390625,0.017660899730876083,-0.05990693359646515,9648.7177734375,9045.390625
2018-02-08,11774.595703125,20681511755,0,8,0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,-0.0014543864269716935,0.007676821280393403,-0.024361862793125022,184.3818359375,11664.84765625,11681.8251953125,11592.4892578125,11878.3720703125,11758.283203125,11991.2333984375,12254.40234375,11366.134765625,0.015672470749776034,-0.03915381812722274,11991.2333984375,11592.4892578125,0.019217381490132707,-0.008714821922479854,12254.40234375,11410.525390625,0.02884717042904415,0.21674670543942076,12254.40234375,9905.1669921875
2018-02-09,22846.5078125,26288169966,2,8,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,-0.01452024708261338,-0.0009730647082914476,-0.013589886059606543,830.814453125,22978.1171875,23314.19921875,23336.896484375,23656.20703125,23804.6328125,23843.88671875,22930.548828125,22630.95703125,0.018234069117053376,-0.0036650241673205075,23843.88671875,22846.5078125,0.029939578380698446,-0.01658182878398995,23843.88671875,21239.75390625,0.03183010539062765,0.12926757263617583,23843.88671875,19323.9140625
