date,close,high,low,open,volume,day_of_week,month,is_weekend,sin_dow,cos_dow,sin_month,cos_month,return_pct,return_log,return_log_lag_1,return_log_lag_2,return_log_lag_3,close_sma_7,close_sma_30,return_log_std_7,return_log_std_30,volatility_7d,volatility_14d,volatility_30d,true_range,atr_14,dollar_volume,volume_change_pct,range_hl,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5,close_lag_6,close_lag_7,close_ema_7,close_ema_30,close_over_sma_7,close_over_sma_30,momentum_7d,momentum_14d,momentum_30d,rolling_max_7d,rolling_min_7d,rolling_max_14d,rolling_min_14d,rolling_max_30d,rolling_min_30d,target_next_close
2018-01-31,10221.099609375,10381.599609375,9777.419921875,10108.2001953125,8041160192,2,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.011359232053877344,0.011295200421318582,-0.11132515302966894,-0.04245369798060674,0.02976063348641126,11040.22865513393,13066.503352864584,0.0488590547829099,0.06634119867359513,0.0488590547829099,0.05818820308575822,0.06634119867359513,604.1796875,1045.669921875,82189499297373.0,-0.06907957052472846,604.1796875,10106.2998046875,11296.400390625,11786.2998046875,11440.7001953125,11171.400390625,11259.400390625,11359.400390625,10897.381528150276,12294.29723564088,0.9258050651534271,0.7822367877121631,-0.10020782278168916,-0.08647194767693045,-0.25159626693594617,11786.2998046875,10106.2998046875,12899.2001953125,10106.2998046875,17527.0,10106.2998046875,9170.5400390625
2018-02-01,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,3,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.1027834196380305,-0.10845799638872773,0.011295200421318582,-0.11132515302966894,-0.04245369798060674,10741.820033482143,12872.784700520833,0.05997954557246769,0.06580852950194047,0.05997954557246769,0.06332817352254116,0.06580852950194047,1476.51953125,1067.9356166294642,91333080573441.0,0.23855267277331715,1476.51953125,10221.099609375,10106.2998046875,11296.400390625,11786.2998046875,11440.7001953125,11171.400390625,11259.400390625,10465.671155878332,12092.764513280987,0.8537231130737641,0.7123975311022999,-0.18552145576968415,-0.2008174601188838,-0.3879002090385206,11786.2998046875,9170.5400390625,12899.2001953125,9170.5400390625,17527.0,9170.5400390625,8830.75
2018-02-02,8830.75,9142.2802734375,7796.490234375,9142.2802734375,12726899712,4,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-0.037052347802326024,-0.03775622775012468,-0.10845799638872773,0.011295200421318582,-0.11132515302966894,10407.44140625,12660.443033854166,0.059256237545611094,0.0656547943854805,0.059256237545611094,0.06305050371989811,0.0656547943854805,1374.0498046875,1107.4605887276787,112388069631744.0,0.27787809903313576,1345.7900390625,9170.5400390625,10221.099609375,10106.2998046875,11296.400390625,11786.2998046875,11440.7001953125,11171.400390625,10056.94086690875,11882.311964037053,0.8485034558731076,0.697507186469421,-0.20952166324548405,-0.23921380302066853,-0.4190678244852313,11786.2998046875,8830.75,12899.2001953125,8830.75,17527.0,8830.75,9174.91015625
2018-02-03,9174.91015625,9430.75,8251.6298828125,8852.1201171875,7263790080,5,2,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.03897292486481896,0.03823265293714762,-0.03775622775012468,-0.10845799638872773,0.011295200421318582,10083.757114955357,12446.300032552082,0.06178004458010311,0.06597858302242107,0.06178004458010311,0.05481079961541215,0.06597858302242107,1179.1201171875,1084.8549107142858,66644621377860.0,-0.42925690903723523,1179.1201171875,8830.75,9170.5400390625,10221.099609375,10106.2998046875,11296.400390625,11786.2998046875,11440.7001953125,9836.433189244062,11707.640879663695,0.9098702052871311,0.7371596484299686,-0.19804644824019102,-0.28872255509422107,-0.4118345786082658,11786.2998046875,8830.75,11786.2998046875,8830.75,17527.0,8830.75,8277.009765625
2018-02-04,8277.009765625,9334.8701171875,8031.22021484375,9175.7001953125,7073549824,6,2,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,-0.09786476110758924,-0.10299083790500331,0.03823265293714762,-0.03775622775012468,-0.10845799638872773,9582.429966517857,12141.217024739582,0.06018498369519521,0.06309411075912226,0.06018498369519521,0.05445321018570231,0.06309411075912226,1303.64990234375,1062.901332310268,58547840970883.0,-0.026190219417794647,1303.64990234375,9174.91015625,8830.75,9170.5400390625,10221.099609375,10106.2998046875,11296.400390625,11786.2998046875,9446.577333339297,11486.309840048296,0.8637693982158858,0.6817281783827214,-0.29774315071018553,-0.28647080246313883,-0.5251149048667489,11296.400390625,8277.009765625,11786.2998046875,8277.009765625,17527.0,8277.009765625,6955.27001953125
2018-02-05,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,-0.15968807377551097,-0.17398211533124852,-0.10299083790500331,0.03823265293714762,-0.03775622775012468,8962.268484933036,11788.826025390625,0.07577020680673323,0.0684041474109732,0.07577020680673323,0.06726925266870405,0.0684041474109732,1608.15966796875,1054.4698660714287,64581699048369.0,0.3126775402776889,1608.15966796875,8277.009765625,9174.91015625,8830.75,9170.5400390625,10221.099609375,10106.2998046875,11296.400390625,8823.750504887284,11193.98469033752,0.7760613321531415,0.5899883503710274,-0.3842932457224604,-0.3637347667279449,-0.6031682535784075,10221.099609375,6955.27001953125,11786.2998046875,6955.27001953125,16477.599609375,6955.27001953125,7754.0
2018-02-06,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320,1,2,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.11483809805022926,0.10870919082663183,-0.17398211533124852,-0.10299083790500331,0.03823265293714762,8626.225655691964,11498.039371744791,0.09784698662789117,0.07269077244623044,0.09784698662789117,0.07699650499740378,0.07269077244623044,1802.4404296875,1094.0799386160713,108554451681280.0,0.5077396983964781,1802.4404296875,6955.27001953125,8277.009765625,9174.91015625,8830.75,9170.5400390625,10221.099609375,10106.2998046875,8556.312878665463,10972.050194186713,0.8988867564441199,0.6743758435072531,-0.2327557909568898,-0.2865555443937692,-0.5294217492948228,10221.099609375,6955.27001953125,11786.2998046875,6955.27001953125,15170.099609375,6955.27001953125,7621.2998046875
2018-02-07,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000,2,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,-0.01711377293171268,-0.017261906053983648,0.10870919082663183,-0.17398211533124852,-0.10299083790500331,8254.82568359375,11246.412711588542,0.09603498786386468,0.07188156642153033,0.09603498786386468,0.07451477235096574,0.07188156642153033,1272.3203125,1123.4170619419642,69881831873125.0,-0.34504208700028083,1272.3203125,7754.0,6955.27001953125,8277.009765625,9174.91015625,8830.75,9170.5400390625,10221.099609375,8322.559610170973,10755.872749702894,0.9232538755887522,0.6776649586080326,-0.2543561753671699,-0.3290755196042374,-0.49761043098374924,9174.91015625,6955.27001953125,11786.2998046875,6955.27001953125,14973.2998046875,6955.27001953125,8265.58984375
2018-02-08,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464,3,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.08453807822469184,0.08115416198669995,-0.017261906053983648,0.10870919082663183,-0.17398211533124852,8125.547084263393,11035.419026692709,0.10076688474347405,0.07426764299341777,0.10076688474347405,0.08002029494359168,0.07426764299341777,937.4697265625,1138.3577706473213,77256405707304.0,0.01935489634954979,920.90966796875,7621.2998046875,7754.0,6955.27001953125,8277.009765625,9174.91015625,8830.75,9170.5400390625,8308.317168565729,10595.209336415612,1.0172348714534958,0.7490055269996557,-0.09868014222257437,-0.26589431435156696,-0.43368529656375854,9174.91015625,6955.27001953125,11786.2998046875,6955.27001953125,14973.2998046875,6955.27001953125,8736.98046875
2018-02-09,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224,4,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.057030488314931294,0.05546355066788704,0.08115416198669995,-0.017261906053983648,0.10870919082663183,8112.151436941965,10827.541715494792,0.10336038057092688,0.0750818522763417,0.10336038057092688,0.08263272255283796,0.0750818522763417,852.2705078125,1114.4913504464287,59278841781068.0,-0.274098495500393,852.2705078125,8265.58984375,7621.2998046875,7754.0,6955.27001953125,8277.009765625,9174.91015625,8830.75,8415.482993611797,10475.32360301783,1.0770238372230854,0.8069218940294558,-0.010618524049486155,-0.21791537647490966,-0.41649599068237286,9174.91015625,6955.27001953125,11786.2998046875,6955.27001953125,14360.2001953125,6955.27001953125,8621.900390625
